101,group1,condition1,target,10,96
101,group1,condition1,target,9,15
101,group1,condition1,target,8,16
101,group1,condition1,target,7,17
101,group1,condition1,target,6,17
101,group1,condition1,target,5,21
101,group1,condition1,target,4,5
101,group1,condition1,target,3,9
101,group1,condition1,target,2,2
101,group1,condition1,target,1,2
101,group1,condition1,lure,10,9
101,group1,condition1,lure,9,13
101,group1,condition1,lure,8,23
101,group1,condition1,lure,7,29
101,group1,condition1,lure,6,22
101,group1,condition1,lure,5,26
101,group1,condition1,lure,4,29
101,group1,condition1,lure,3,25
101,group1,condition1,lure,2,9
101,group1,condition1,lure,1,15
101,group1,condition2,target,10,107
101,group1,condition2,target,9,23
101,group1,condition2,target,8,24
101,group1,condition2,target,7,18
101,group1,condition2,target,6,8
101,group1,condition2,target,5,8
101,group1,condition2,target,4,8
101,group1,condition2,target,3,1
101,group1,condition2,target,2,1
101,group1,condition2,target,1,2
101,group1,condition2,lure,10,11
101,group1,condition2,lure,9,13
101,group1,condition2,lure,8,16
101,group1,condition2,lure,7,34
101,group1,condition2,lure,6,27
101,group1,condition2,lure,5,36
101,group1,condition2,lure,4,22
101,group1,condition2,lure,3,16
101,group1,condition2,lure,2,15
101,group1,condition2,lure,1,10
102,group2,condition1,target,10,105
102,group2,condition1,target,9,11
102,group2,condition1,target,8,19
102,group2,condition1,target,7,17
102,group2,condition1,target,6,15
102,group2,condition1,target,5,16
102,group2,condition1,target,4,13
102,group2,condition1,target,3,1
102,group2,condition1,target,2,1
102,group2,condition1,target,1,2
102,group2,condition1,lure,10,13
102,group2,condition1,lure,9,9
102,group2,condition1,lure,8,17
102,group2,condition1,lure,7,30
102,group2,condition1,lure,6,25
102,group2,condition1,lure,5,29
102,group2,condition1,lure,4,29
102,group2,condition1,lure,3,20
102,group2,condition1,lure,2,16
102,group2,condition1,lure,1,12
102,group2,condition2,target,10,107
102,group2,condition2,target,9,27
102,group2,condition2,target,8,25
102,group2,condition2,target,7,18
102,group2,condition2,target,6,10
102,group2,condition2,target,5,9
102,group2,condition2,target,4,2
102,group2,condition2,target,3,0
102,group2,condition2,target,2,1
102,group2,condition2,target,1,1
102,group2,condition2,lure,10,9
102,group2,condition2,lure,9,13
102,group2,condition2,lure,8,19
102,group2,condition2,lure,7,32
102,group2,condition2,lure,6,25
102,group2,condition2,lure,5,27
102,group2,condition2,lure,4,23
102,group2,condition2,lure,3,24
102,group2,condition2,lure,2,11
102,group2,condition2,lure,1,17
